tic,datadate,ajexdi,cshoc,prccd,trfd,gvkey
MSTR,2021-05-07,10.00000000,7782000,620.46000000,,111534
MSTR,2021-05-10,10.00000000,7782000,569.46000000,,111534
MSTR,2021-05-11,10.00000000,7782000,576.96000000,,111534
MSTR,2021-05-12,10.00000000,7782000,541.88000000,,111534
MSTR,2021-05-13,10.00000000,7782000,488.08000000,,111534
MSTR,2021-05-14,10.00000000,7782000,521.31000000,,111534
MSTR,2021-05-17,10.00000000,7782000,489.35000000,,111534
MSTR,2021-05-18,10.00000000,7782000,487.20000000,,111534
MSTR,2021-05-19,10.00000000,7782000,454.86000000,,111534
MSTR,2021-05-20,10.00000000,7782000,472.66000000,,111534
MSTR,2021-05-21,10.00000000,7782000,450.52000000,,111534
MSTR,2021-05-24,10.00000000,7782000,472.45000000,,111534
MSTR,2021-05-25,10.00000000,7782000,469.67000000,,111534
MSTR,2021-05-26,10.00000000,7782000,482.79000000,,111534
MSTR,2021-05-27,10.00000000,7782000,493.85000000,,111534
MSTR,2021-05-28,10.00000000,7782000,470.00000000,,111534
MSTR,2021-06-01,10.00000000,7782000,477.76000000,,111534
MSTR,2021-06-02,10.00000000,7782000,498.50000000,,111534
MSTR,2021-06-03,10.00000000,7782000,488.64000000,,111534
MSTR,2021-06-04,10.00000000,7782000,484.67000000,,111534
MSTR,2021-06-07,10.00000000,7782000,469.81000000,,111534
MSTR,2021-06-08,10.00000000,7782000,459.38000000,,111534
MSTR,2021-06-09,10.00000000,7782000,512.99000000,,111534
MSTR,2021-06-10,10.00000000,7782000,508.65000000,,111534
MSTR,2021-06-11,10.00000000,7782000,516.44000000,,111534
MSTR,2021-06-14,10.00000000,7782000,598.49000000,,111534
MSTR,2021-06-15,10.00000000,7782000,630.54000000,,111534
MSTR,2021-06-16,10.00000000,7782000,619.82000000,,111534
MSTR,2021-06-17,10.00000000,7782000,630.81000000,,111534
MSTR,2021-06-18,10.00000000,7782000,646.46000000,,111534
MSTR,2021-06-21,10.00000000,7782000,583.67000000,,111534
MSTR,2021-06-22,10.00000000,7782000,553.72000000,,111534
MSTR,2021-06-23,10.00000000,7782000,553.00000000,,111534
MSTR,2021-06-24,10.00000000,7782000,581.88000000,,111534
MSTR,2021-06-25,10.00000000,7782000,550.05000000,,111534
MSTR,2021-06-28,10.00000000,7782000,624.17000000,,111534
MSTR,2021-06-29,10.00000000,7782000,668.99000000,,111534
MSTR,2021-06-30,10.00000000,7782000,664.50000000,,111534
MSTR,2021-07-01,10.00000000,7782000,650.86000000,,111534
MSTR,2021-07-02,10.00000000,7782000,635.61000000,,111534
MSTR,2021-07-06,10.00000000,7782000,634.29000000,,111534
MSTR,2021-07-07,10.00000000,7782000,639.86000000,,111534
MSTR,2021-07-08,10.00000000,7782000,618.44000000,,111534
MSTR,2021-07-09,10.00000000,7782000,628.66000000,,111534
MSTR,2021-07-12,10.00000000,7782000,588.69000000,,111534
MSTR,2021-07-13,10.00000000,7782000,579.88000000,,111534
MSTR,2021-07-14,10.00000000,7782000,560.43000000,,111534
MSTR,2021-07-15,10.00000000,7782000,541.04000000,,111534
MSTR,2021-07-16,10.00000000,7782000,523.09000000,,111534
MSTR,2021-07-19,10.00000000,7782000,498.72000000,,111534
MSTR,2021-07-20,10.00000000,7782000,501.78000000,,111534
MSTR,2021-07-21,10.00000000,7782000,556.94000000,,111534
MSTR,2021-07-22,10.00000000,7782000,555.94000000,,111534
MSTR,2021-07-23,10.00000000,7782000,539.71000000,,111534
MSTR,2021-07-26,10.00000000,7782000,682.50000000,,111534
MSTR,2021-07-27,10.00000000,7782000,630.61000000,,111534
MSTR,2021-07-28,10.00000000,7782000,646.65000000,,111534
MSTR,2021-07-29,10.00000000,7782000,625.01000000,,111534
MSTR,2021-07-30,10.00000000,7783000,626.01000000,,111534
MSTR,2021-08-02,10.00000000,7783000,637.79000000,,111534
MSTR,2021-08-03,10.00000000,7783000,625.06000000,,111534
MSTR,2021-08-04,10.00000000,7783000,670.93000000,,111534
MSTR,2021-08-05,10.00000000,7783000,715.62000000,,111534
MSTR,2021-08-06,10.00000000,7783000,748.72000000,,111534
MSTR,2021-08-09,10.00000000,7783000,767.73000000,,111534
MSTR,2021-08-10,10.00000000,7783000,750.49000000,,111534
MSTR,2021-08-11,10.00000000,7783000,747.49000000,,111534
MSTR,2021-08-12,10.00000000,7783000,720.99000000,,111534
MSTR,2021-08-13,10.00000000,7783000,728.00000000,,111534
MSTR,2021-08-16,10.00000000,7783000,697.51000000,,111534
MSTR,2021-08-17,10.00000000,7783000,663.69000000,,111534
MSTR,2021-08-18,10.00000000,7783000,655.05000000,,111534
MSTR,2021-08-19,10.00000000,7783000,676.26000000,,111534
MSTR,2021-08-20,10.00000000,7783000,716.56000000,,111534
MSTR,2021-08-23,10.00000000,7783000,718.51000000,,111534
MSTR,2021-08-24,10.00000000,7783000,715.50000000,,111534
MSTR,2021-08-25,10.00000000,7783000,726.71000000,,111534
MSTR,2021-08-26,10.00000000,7783000,693.66000000,,111534
MSTR,2021-08-27,10.00000000,7783000,707.20000000,,111534
MSTR,2021-08-30,10.00000000,7783000,702.99000000,,111534
MSTR,2021-08-31,10.00000000,7783000,694.30000000,,111534
MSTR,2021-09-01,10.00000000,7783000,702.50000000,,111534
MSTR,2021-09-02,10.00000000,7783000,695.71000000,,111534
MSTR,2021-09-03,10.00000000,7783000,712.26000000,,111534
MSTR,2021-09-07,10.00000000,7783000,648.01000000,,111534
MSTR,2021-09-08,10.00000000,7783000,638.62000000,,111534
MSTR,2021-09-09,10.00000000,7783000,640.62000000,,111534
MSTR,2021-09-10,10.00000000,7783000,615.57000000,,111534
MSTR,2021-09-13,10.00000000,7783000,642.70000000,,111534
MSTR,2021-09-14,10.00000000,7783000,618.48000000,,111534
MSTR,2021-09-15,10.00000000,7783000,633.00000000,,111534
MSTR,2021-09-16,10.00000000,7783000,633.00000000,,111534
MSTR,2021-09-17,10.00000000,7783000,614.29000000,,111534
MSTR,2021-09-20,10.00000000,7783000,588.39000000,,111534
MSTR,2021-09-21,10.00000000,7783000,581.02000000,,111534
MSTR,2021-09-22,10.00000000,7783000,599.61000000,,111534
MSTR,2021-09-23,10.00000000,7783000,616.57000000,,111534
MSTR,2021-09-24,10.00000000,7783000,599.39000000,,111534
MSTR,2021-09-27,10.00000000,7783000,594.75000000,,111534
MSTR,2021-09-28,10.00000000,7783000,573.51000000,,111534
MSTR,2021-09-29,10.00000000,7783000,566.32000000,,111534
MSTR,2021-09-30,10.00000000,7783000,578.40000000,,111534
MSTR,2021-10-01,10.00000000,7783000,612.46000000,,111534
MSTR,2021-10-04,10.00000000,7783000,607.25000000,,111534
MSTR,2021-10-05,10.00000000,7783000,651.01000000,,111534
MSTR,2021-10-06,10.00000000,7783000,673.81000000,,111534
MSTR,2021-10-07,10.00000000,7783000,692.79000000,,111534
MSTR,2021-10-08,10.00000000,7783000,708.82000000,,111534
MSTR,2021-10-11,10.00000000,7783000,731.80000000,,111534
MSTR,2021-10-12,10.00000000,7783000,710.65000000,,111534
MSTR,2021-10-13,10.00000000,7783000,726.30000000,,111534
MSTR,2021-10-14,10.00000000,7783000,723.95000000,,111534
MSTR,2021-10-15,10.00000000,7783000,749.85000000,,111534
MSTR,2021-10-18,10.00000000,7783000,739.64000000,,111534
MSTR,2021-10-19,10.00000000,7783000,727.25000000,,111534
MSTR,2021-10-20,10.00000000,7783000,758.18000000,,111534
MSTR,2021-10-21,10.00000000,7783000,735.43000000,,111534
MSTR,2021-10-22,10.00000000,7783000,718.52000000,,111534
MSTR,2021-10-25,10.00000000,7783000,746.02000000,,111534
MSTR,2021-10-26,10.00000000,7783000,734.86000000,,111534
MSTR,2021-10-27,10.00000000,7783000,715.02000000,,111534
MSTR,2021-10-28,10.00000000,7783000,717.13000000,,111534
MSTR,2021-10-29,10.00000000,8394000,715.06000000,,111534
MSTR,2021-11-01,10.00000000,8394000,736.12000000,,111534
MSTR,2021-11-02,10.00000000,8394000,794.14000000,,111534
