,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-02-11,47969.51,70784.0,1009.94,7623000.0,,0.0005,3395473795.84,,,,7698772620.0,,0.009285583103764922,False,False
2021-02-12,47287.6,70784.0,1034.31,7623000.0,,0.0004,3347205478.4,,,,7884545130.0,,0.009285583103764922,False,False
2021-02-13,47153.69,70784.0,1034.31,7623000.0,,0.0004,3337726792.96,,,,7884545130.0,,0.009285583103764922,False,False
2021-02-14,48577.79,70784.0,1034.31,7623000.0,,0.0004,3438530287.36,,,,7884545130.0,,0.009285583103764922,False,False
2021-02-15,47911.1,70784.0,1034.31,7623000.0,,0.0004,3391339302.4,,,,7884545130.0,,0.009285583103764922,False,False
2021-02-16,49133.45,70784.0,955.0,7623000.0,,0.0004,3477862124.7999997,,,,7279965000.0,,0.009285583103764922,False,False
2021-02-17,52119.71,70784.0,941.8,7623000.0,,0.0004,3689241552.64,,,,7179341400.0,,0.009285583103764922,False,False
2021-02-18,51552.6,70784.0,927.78,7623000.0,,0.0003,3649099238.4,,,,7072466940.0,,0.009285583103764922,False,False
2021-02-19,55906.0,70784.0,963.72,7623000.0,,0.0004,3957250304.0,,,,7346437560.0,,0.009285583103764922,False,False
2021-02-20,55841.19,71079.0,963.72,7623000.0,,0.0004,3969135944.01,,,,7346437560.0,,0.009324281778827234,False,False
2021-02-21,57408.57,71079.0,963.72,7623000.0,,0.0004,4080543747.03,,,,7346437560.0,,0.009324281778827234,False,False
2021-02-22,54087.67,71079.0,876.0,7623000.0,,0.0003,3844497495.93,,,,6677748000.0,,0.009324281778827234,False,False
2021-02-23,48891.0,71079.0,691.23,7623000.0,,0.0004,3475123389.0,,,,5269246290.0,,0.009324281778827234,False,False
2021-02-24,49676.2,90531.0,817.69,7623000.0,,0.0003,4497236062.2,,,,6233250870.0,,0.011876033057851239,False,False
2021-02-25,47073.73,90531.0,731.61,7623000.0,,0.0004,4261631850.63,,,,5577063030.0,,0.011876033057851239,False,False
2021-02-26,46276.87,90531.0,750.41,7623000.0,,0.0004,4189491317.9700003,,,,5720375430.0,,0.011876033057851239,False,False
2021-02-27,46106.43,90859.0,750.41,7623000.0,,0.0004,4189184123.37,,,,5720375430.0,,0.011919060737242556,False,False
2021-02-28,45135.66,90859.0,750.41,7623000.0,,0.0004,4100980931.9400005,,,,5720375430.0,,0.011919060737242556,False,False
2021-03-01,49587.03,90859.0,782.44,7623000.0,,0.0005,4505427958.7699995,,,,5964540120.0,,0.011919060737242556,False,False
2021-03-02,48440.65,90859.0,748.5,7623000.0,,0.0004,4401269018.35,,,,5705815500.0,,0.011919060737242556,False,False
2021-03-03,50349.37,90859.0,731.57,7623000.0,,0.0005,4574693408.83,,,,5576758110.0,,0.011919060737242556,False,False
2021-03-04,48374.09,90859.0,645.66,7623000.0,,0.0004,4395221443.309999,,,,4921866180.0,,0.011919060737242556,False,False
2021-03-05,48751.71,91064.0,620.24,7623000.0,,0.0004,4439525719.44,,,,4728089520.0,,0.011945953036862128,False,False
2021-03-06,48882.2,91064.0,620.24,7623000.0,,0.0004,4451408660.8,,,,4728089520.0,,0.011945953036862128,False,False
2021-03-07,50971.75,91064.0,620.24,7623000.0,,0.0004,4641691442.0,,,,4728089520.0,,0.011945953036862128,False,False
2021-03-08,52375.17,91064.0,624.19,7623000.0,,0.0005,4769492480.88,,,,4758200370.0,,0.011945953036862128,False,False
2021-03-09,54884.5,91064.0,715.99,7623000.0,,0.0005,4998002108.0,,,,5457991770.0,,0.011945953036862128,False,False
2021-03-10,55851.59,91064.0,756.55,7623000.0,,0.0004,5086069191.759999,,,,5767180650.0,,0.011945953036862128,False,False
2021-03-11,57773.16,91064.0,803.75,7623000.0,,0.0004,5261055042.240001,,,,6126986250.0,,0.011945953036862128,False,False
2021-03-12,57221.72,91326.0,784.0,7623000.0,,0.0004,5225830800.72,,,,5976432000.0,,0.011980322707595435,False,False
2021-03-13,61188.39,91326.0,784.0,7623000.0,,0.0004,5588090905.14,,,,5976432000.0,,0.011980322707595435,False,False
2021-03-14,58968.31,91326.0,784.0,7623000.0,,0.0004,5385339879.059999,,,,5976432000.0,,0.011980322707595435,False,False
2021-03-15,55605.2,91326.0,769.01,7623000.0,,0.0004,5078200495.2,,,,5862163230.0,,0.011980322707595435,False,False
2021-03-16,56900.75,91326.0,724.29,7623000.0,,0.0002,5196517894.5,,,,5521262670.0,,0.011980322707595435,False,False
2021-03-17,58912.97,91326.0,770.99,7623000.0,,0.0002,5380285898.22,,,,5877256770.0,,0.011980322707595435,False,False
2021-03-18,57648.16,91326.0,732.05,7623000.0,,0.0001,5264775860.16,,,,5580417150.0,,0.011980322707595435,False,False
2021-03-19,58030.01,91326.0,777.04,7623000.0,,0.0001,5299648693.26,,,,5923375920.0,,0.011980322707595435,False,False
2021-03-20,58102.28,91326.0,777.04,7623000.0,,0.0001,5306248823.28,,,,5923375920.0,,0.011980322707595435,False,False
2021-03-21,57351.56,91326.0,777.04,7623000.0,,0.0001,5237688568.559999,,,,5923375920.0,,0.011980322707595435,False,False
2021-03-22,54083.25,91326.0,724.56,7623000.0,,0.0003,4939206889.5,,,,5523320880.0,,0.011980322707595435,False,False
2021-03-23,54340.89,91326.0,677.21,7623000.0,,0.0001,4962736120.14,,,,5162371830.0,,0.011980322707595435,False,False
2021-03-24,52303.65,91326.0,621.57,7623000.0,,0.0002,4776683139.900001,,,,4738228110.0,,0.011980322707595435,False,False
2021-03-25,51293.78,91326.0,620.91,7623000.0,,0.0002,4684455752.28,,,,4733196930.0,,0.011980322707595435,False,False
2021-03-26,55025.59,91326.0,624.0,7623000.0,,0.0002,5025267032.34,,,,4756752000.0,,0.011980322707595435,False,False
2021-03-27,55817.14,91326.0,624.0,7623000.0,,0.0002,5097556127.64,,,,4756752000.0,,0.011980322707595435,False,False
2021-03-28,55777.63,91326.0,624.0,7623000.0,,0.0002,5093947837.38,,,,4756752000.0,,0.011980322707595435,False,False
2021-03-29,57635.47,91326.0,631.34,7623000.0,,0.0003,5263616933.22,,,,4812704820.0,,0.011980322707595435,False,False
2021-03-30,58746.57,91326.0,653.98,7623000.0,,0.0002,5365089251.82,,,,4985289540.0,,0.011980322707595435,False,False
2021-03-31,58740.55,91326.0,678.8,7623000.0,1754414000.0,0.0003,5364539469.3,3610125469.3,3610125469.3,3610125469.3,5174492400.0,0.3599987196044772,0.011980322707595435,False,False
2021-04-01,58720.44,91326.0,703.56,7623000.0,1754414000.0,0.0002,5362702903.440001,3608288903.4400005,3608288903.4400005,3608288903.4400005,5363237880.0,0.3963342027778981,0.011980322707595435,False,False
2021-04-02,58950.01,91326.0,703.56,7623000.0,1754414000.0,0.0002,5383668613.26,3629254613.26,3629254613.26,3629254613.26,5363237880.0,0.3905405882963768,0.011980322707595435,False,False
2021-04-03,57051.94,91579.0,703.56,7623000.0,1754414000.0,0.0002,5224759613.26,3470345613.26,3470345613.26,3470345613.26,5363237880.0,0.4353136854260303,0.012013511740784468,False,False
2021-04-04,58202.01,91579.0,703.56,7623000.0,1754414000.0,0.0002,5330081873.79,3575667873.79,3575667873.79,3575667873.79,5363237880.0,0.4054158982470763,0.012013511740784468,False,False
2021-04-05,59129.99,91579.0,720.55,7623000.0,1754414000.0,0.0003,5415065354.21,3660651354.21,3660651354.21,3660651354.21,5492752650.0,0.4057884260979521,0.012013511740784468,False,False
2021-04-06,57991.15,91579.0,704.58,7623000.0,1754414000.0,0.0002,5310771525.85,3556357525.8500004,3556357525.8500004,3556357525.8500004,5371013340.0,0.4122797404537366,0.012013511740784468,False,False
2021-04-07,55953.45,91579.0,656.2,7623000.0,1754414000.0,0.0002,5124160997.55,3369746997.55,3369746997.55,3369746997.55,5002212600.0,0.3950426679159719,0.012013511740784468,False,False
2021-04-08,58077.52,91579.0,690.12,7623000.0,1754414000.0,0.0001,5318681204.08,3564267204.08,3564267204.08,3564267204.08,5260784760.0,0.38932172965302153,0.012013511740784468,False,False
2021-04-09,58142.54,91579.0,711.0,7623000.0,1754414000.0,0.0002,5324635670.66,3570221670.66,3570221670.66,3570221670.66,5419953000.0,0.41745945734151113,0.012013511740784468,False,False
2021-04-10,59769.13,91579.0,711.0,7623000.0,1754414000.0,0.0002,5473597156.2699995,3719183156.2699995,3719183156.2699995,3719183156.2699995,5419953000.0,0.37658308130161466,0.012013511740784468,False,False
2021-04-11,60002.43,91579.0,711.0,7623000.0,1754414000.0,0.0002,5494962536.97,3740548536.9700003,3740548536.9700003,3740548536.9700003,5419953000.0,0.3708548755164091,0.012013511740784468,False,False
2021-04-12,59860.0,91579.0,718.24,7623000.0,1754414000.0,0.0002,5481918940.0,3727504940.0,3727504940.0,3727504940.0,5475143520.0,0.3844793961166998,0.012013511740784468,False,False
